;Number of cuts;Length of X;K fold;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
12;4;240;7;0.40323542857142863;5.730977387755069e-06;0.6350036988821726;[0.405475, 0.400948, 0.403751, 0.403679, 0.39977, 0.401854, 0.407171];0.4472498571428572;0.00015122261497959149;0.6686543460771623;[0.444397, 0.443966, 0.447845, 0.459483, 0.463993, 0.448469, 0.422596]
13;4;240;8;0.40413000000000004;7.828334750000025e-06;0.6357060418662466;[0.407546, 0.402337, 0.401492, 0.401774, 0.40466, 0.40069, 0.405968, 0.408573];0.445648125;0.00022936460735937495;0.6673970035838044;[0.435468, 0.451724, 0.446798, 0.447783, 0.455665, 0.474618, 0.429768, 0.423361]
14;5;120;2;0.481493;5.924355999999959e-06;0.693892697500125;[0.479059, 0.483927];0.5214639999999999;8.031744399999947e-05;0.7220690289411393;[0.512502, 0.530426]
15;5;120;3;0.48509566666666665;7.485229555555581e-06;0.6964827215639388;[0.4818, 0.484988, 0.488499];0.5181993333333333;1.3955086888889114e-05;0.7198509416861553;[0.513578, 0.518293, 0.522727]
16;5;120;4;0.48479799999999995;2.446348999999999e-05;0.6962568035646043;[0.48296, 0.483084, 0.480046, 0.493102];0.5122249999999999;0.0002569336455000005;0.7155194381388251;[0.515025, 0.49766, 0.537324, 0.498891]
17;5;120;5;0.4851726;1.4982009039999994e-05;0.6965325677891595;[0.485334, 0.481869, 0.485989, 0.480831, 0.49184];0.513642;0.00016914477080000014;0.7165702025825523;[0.509236, 0.513547, 0.506006, 0.538343, 0.501078]
18;5;120;6;0.4863706666666667;1.1694918222222229e-05;0.6973944162010794;[0.487731, 0.480674, 0.486808, 0.486069, 0.484813, 0.492129];0.5114245000000001;0.00011358359758333312;0.7150600788761856;[0.510528, 0.508869, 0.499261, 0.521064, 0.528825, 0.5]
19;5;120;7;0.487159;8.286257142857136e-06;0.6979618282849408;[0.488036, 0.48315, 0.486384, 0.48818, 0.485127, 0.486205, 0.493031];0.5135805714285715;0.00010768556824489813;0.7165702239559822;[0.519397, 0.510345, 0.503879, 0.513362, 0.528676, 0.52307, 0.496335]
20;5;120;8;0.487299875;9.11771885937501e-06;0.6980621442831151;[0.489055, 0.484268, 0.486732, 0.486873, 0.488773, 0.481912, 0.488176, 0.49261];0.5124725;0.00033565588350000045;0.7156373691448065;[0.513793, 0.506404, 0.504433, 0.5, 0.52069, 0.556432, 0.504682, 0.493346]
21;6;60;2;0.5916115;7.147602249999975e-06;0.7691582102517985;[0.588938, 0.594285];0.6092264999999999;2.3440122249999985e-05;0.7805146122128336;[0.604385, 0.614068]
22;6;60;3;0.5930896666666666;3.487037555555451e-06;0.7701208863737634;[0.590724, 0.595289, 0.593256];0.61132;1.7829979999999977e-06;0.781868414122223;[0.609459, 0.611973, 0.612528]
23;6;60;4;0.59448575;1.7230601875000236e-06;0.7710279028283039;[0.595138, 0.592626, 0.594022, 0.596157];0.6103957499999999;2.413021468749988e-05;0.7812628365571426;[0.614039, 0.606061, 0.616408, 0.605075]
24;6;60;5;0.5943372;5.032061360000042e-06;0.7709294182599598;[0.596428, 0.59127, 0.597229, 0.59261, 0.594149];0.6093491999999999;7.013261576000033e-05;0.7805633013306735;[0.606527, 0.61053, 0.59963, 0.624577, 0.605482]
25;6;60;6;0.5939026666666667;1.0569864222222207e-05;0.7706439494360833;[0.597561, 0.587909, 0.593304, 0.597295, 0.592639, 0.594708];0.6099036666666666;3.503473455555535e-05;0.7809408632746215;[0.602512, 0.620103, 0.605691, 0.605691, 0.612343, 0.613082]
26;6;60;7;0.5943624285714285;5.86450195918374e-06;0.7709452406425954;[0.59783, 0.589567, 0.593662, 0.594237, 0.594266, 0.596709, 0.594266];0.6101497142857143;6.11033991836738e-06;0.781116895186499;[0.606897, 0.6125, 0.611207, 0.611638, 0.610608, 0.605865, 0.612333]
27;6;60;8;0.5948496249999999;5.100503484374982e-06;0.7712616446424103;[0.597311, 0.590836, 0.593299, 0.594566, 0.596467, 0.592976, 0.597973, 0.595369];0.6081793749999999;0.0001222700602343752;0.7797801644949462;[0.595567, 0.625123, 0.603448, 0.602463, 0.605419, 0.624938, 0.595367, 0.61311]
28;7;60;2;0.5916115;7.147602249999975e-06;0.7691582102517985;[0.588938, 0.594285];0.6092264999999999;2.3440122249999985e-05;0.7805146122128336;[0.604385, 0.614068]
29;7;60;3;0.593028;3.497674666666518e-06;0.7700808414220764;[0.590632, 0.595196, 0.593256];0.6113813333333333;1.5622388888888017e-06;0.7819077765916159;[0.609643, 0.611973, 0.612528]
30;7;60;4;0.5944652500000001;1.9520656874998935e-06;0.7710144602627843;[0.595138, 0.592462, 0.594022, 0.596239];0.6104575;2.348454124999989e-05;0.7813027681115369;[0.614039, 0.606061, 0.616408, 0.605322]
31;7;60;5;0.5943064;5.266960640000021e-06;0.7709092897607085;[0.596505, 0.59127, 0.597229, 0.592379, 0.594149];0.6093491999999999;7.013261576000033e-05;0.7805633013306735;[0.606527, 0.61053, 0.59963, 0.624577, 0.605482]
32;7;60;6;0.5938533333333332;1.0438366222222175e-05;0.7706120262279268;[0.597413, 0.587909, 0.59323, 0.597295, 0.592565, 0.594708];0.6097806666666667;3.432863255555544e-05;0.7808625602717236;[0.602512, 0.619734, 0.605322, 0.605691, 0.612343, 0.613082]
33;7;60;7;0.5943214285714287;5.825183102040903e-06;0.7709186749510786;[0.597686, 0.589495, 0.593662, 0.594237, 0.594195, 0.596709, 0.594266];0.6101497142857143;6.11033991836738e-06;0.781116895186499;[0.606897, 0.6125, 0.611207, 0.611638, 0.610608, 0.605865, 0.612333]
34;7;60;8;0.594814375;5.024573984374963e-06;0.7712388413623991;[0.597311, 0.590836, 0.593299, 0.594566, 0.596326, 0.592905, 0.597903, 0.595369];0.60811775;0.00012385111893750008;0.7797396353149316;[0.595074, 0.625123, 0.603448, 0.602463, 0.605419, 0.624938, 0.595367, 0.61311]
35;8;60;2;0.5916729999999999;6.822544000000017e-06;0.7691983992807057;[0.589061, 0.594285];0.609288;2.284839999999953e-05;0.78055438734274;[0.604508, 0.614068]
36;8;60;3;0.5931203333333334;3.6238108888889205e-06;0.770140707612865;[0.590724, 0.595381, 0.593256];0.61132;1.7829979999999977e-06;0.781868414122223;[0.609459, 0.611973, 0.612528]
37;8;60;4;0.59454725;1.6975786874999488e-06;0.7710678001455595;[0.595138, 0.592708, 0.594104, 0.596239];0.61051925;2.3938295687499886e-05;0.7813419940744978;[0.614286, 0.606061, 0.616408, 0.605322]
38;8;60;5;0.5943064;5.208194240000029e-06;0.7709093278756978;[0.596351, 0.591193, 0.597306, 0.592533, 0.594149];0.6093491999999999;7.013261576000033e-05;0.7805633013306735;[0.606527, 0.61053, 0.59963, 0.624577, 0.605482]
39;8;60;6;0.5938903333333334;1.0597059222222214e-05;0.7706359297840396;[0.597487, 0.587909, 0.593304, 0.597369, 0.592565, 0.594708];0.6097189999999999;3.503161533333311e-05;0.7808226228694111;[0.602512, 0.620103, 0.605322, 0.605691, 0.611604, 0.613082]
40;8;60;7;0.5943727142857143;5.778892489796029e-06;0.7709519669818765;[0.597758, 0.589567, 0.593734, 0.594237, 0.594338, 0.596709, 0.594266];0.6101497142857143;6.620397632653159e-06;0.7811165686938676;[0.606466, 0.6125, 0.611638, 0.611207, 0.611039, 0.605865, 0.612333]
41;8;60;8;0.594814375;5.0970064843749754e-06;0.7712387944038576;[0.597241, 0.590836, 0.593299, 0.594496, 0.596326, 0.592905, 0.598043, 0.595369];0.608240875;0.00012074521385937506;0.7798205753800939;[0.596059, 0.625123, 0.603448, 0.602463, 0.605419, 0.624938, 0.595367, 0.61311]
