;Number of cuts;Length of X;K fold;Neighbors;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
16;3;480;4;5;0.37264674999999997;3.854404687500009e-06;0.6104448341949602;[0.371766, 0.37461, 0.369847, 0.374364];0.6034980000000001;8.350345500000154e-06;0.77684596262998;[0.603941, 0.599162, 0.603597, 0.607292]
17;3;480;4;20;0.5680235;1.2807920749999997e-05;0.7536648406813535;[0.568284, 0.572836, 0.562736, 0.568238];0.67075225;1.5003676187500141e-05;0.818985498237797;[0.664778, 0.674058, 0.674304, 0.669869]
18;3;480;4;50;0.6452955;3.3201087499999746e-06;0.8033008028697904;[0.64474, 0.646904, 0.642552, 0.646986];0.700868;4.2347020499999965e-05;0.8371533031527141;[0.703448, 0.695984, 0.710273, 0.693767]
19;3;480;4;100;0.6906652499999999;1.5201171874999752e-06;0.8310618087018633;[0.688593, 0.691247, 0.691821, 0.691];0.72679675;3.605149018750001e-05;0.8525026090926716;[0.729557, 0.716433, 0.730968, 0.730229]
20;3;480;4;200;0.7185027500000001;2.275415687499976e-06;0.8476440730544351;[0.717336, 0.721054, 0.717441, 0.71818];0.7406539999999999;6.913705500000061e-06;0.8606085557874148;[0.740148, 0.737127, 0.744518, 0.740823]
21;3;480;5;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0];0.467512;0.0001023718256000003;0.6836736269408086;[0.473214, 0.467672, 0.479212, 0.468432, 0.44903]
22;3;480;5;3;0.2804242;6.156137360000014e-06;0.529545129203017;[0.279698, 0.284548, 0.276905, 0.279831, 0.281139];0.574491;3.2682683999999926e-05;0.7579302852611182;[0.564347, 0.57266, 0.580536, 0.578688, 0.576224]
23;3;480;5;5;0.3646766;6.224305039999965e-06;0.6038794380461716;[0.365386, 0.368928, 0.362587, 0.361817, 0.364665];0.6010354;6.598437943999998e-05;0.7752221717808128;[0.589901, 0.596059, 0.611949, 0.598706, 0.608562]
24;3;480;5;20;0.5629274000000001;1.1331795839999943e-05;0.7502773275290678;[0.564555, 0.565094, 0.56505, 0.556274, 0.563664];0.6629924;3.2350198640000106e-05;0.8142235871069814;[0.651786, 0.666564, 0.665845, 0.663998, 0.666769]
25;3;480;5;50;0.6416982;1.7122757600000284e-06;0.8010596031034395;[0.642005, 0.643776, 0.640493, 0.640108, 0.642109];0.6993908000000001;2.8396114160000017e-05;0.8362789031691761;[0.698892, 0.693966, 0.703111, 0.707422, 0.693563]
26;3;480;5;100;0.6880582000000001;2.2237097600000502e-06;0.8294913961520276;[0.685734, 0.68789, 0.68776, 0.68853, 0.690377];0.7256892;5.899958856000008e-05;0.8518393043358824;[0.722906, 0.712131, 0.732984, 0.732368, 0.728057]
27;3;480;5;200;0.7169890000000001;8.038702000000004e-06;0.8467472830177846;[0.713296, 0.719917, 0.716859, 0.714473, 0.7204];0.7389302;5.680306735999979e-05;0.8595774525501702;[0.744766, 0.724446, 0.740376, 0.744995, 0.740068]
28;3;480;6;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.4604913333333333;8.837954455555556e-05;0.6785299947598321;[0.464352, 0.472653, 0.45935, 0.457132, 0.466741, 0.44272]
29;3;480;6;3;0.27592516666666667;3.47493047222225e-06;0.5252824875590223;[0.275979, 0.275885, 0.279432, 0.274333, 0.27352, 0.276402];0.5643906666666666;3.37741935555556e-05;0.7512369083538901;[0.554119, 0.56541, 0.560237, 0.569845, 0.56541, 0.571323]
30;3;480;6;5;0.36049766666666666;4.6542172222221796e-06;0.6004107031436435;[0.357354, 0.361836, 0.364127, 0.359471, 0.359175, 0.361023];0.5903806666666666;4.610615055555568e-05;0.7683323242686794;[0.579978, 0.594235, 0.588692, 0.588322, 0.588692, 0.602365]
31;3;480;6;20;0.5604113333333334;6.5129982222222604e-06;0.7486019104538214;[0.560902, 0.557017, 0.561821, 0.562708, 0.556869, 0.563151];0.6626843333333334;7.193114455555603e-05;0.8140100749921821;[0.65386, 0.658167, 0.677753, 0.666297, 0.653732, 0.666297]
32;3;480;6;50;0.6380611666666666;1.3629064722222486e-06;0.7987864569208684;[0.637842, 0.638164, 0.639051, 0.639716, 0.637573, 0.636021];0.6955105;3.529431424999977e-05;0.8339515607550297;[0.692279, 0.689948, 0.695122, 0.707687, 0.691057, 0.69697]
33;3;480;6;100;0.6863951666666668;6.021123805555554e-06;0.828486056335809;[0.686696, 0.68162, 0.686424, 0.686645, 0.687015, 0.689971];0.7206381666666667;6.964241580555544e-05;0.848863077445863;[0.721832, 0.711013, 0.716556, 0.734664, 0.712491, 0.727273]
34;3;480;6;200;0.71443;8.322863000000003e-06;0.8452346876087138;[0.70946, 0.715986, 0.714434, 0.719016, 0.713103, 0.714581];0.7373278333333332;5.927304013888919e-05;0.8586434418856259;[0.745475, 0.724316, 0.730968, 0.744272, 0.736142, 0.742794]
35;3;480;7;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.4574112857142857;5.792388791836741e-05;0.6762790561790061;[0.462069, 0.47069, 0.455172, 0.452155, 0.460543, 0.456662, 0.444588]
36;3;480;7;3;0.2723408571428571;1.321476408163292e-06;0.5218616058558523;[0.272975, 0.272904, 0.273407, 0.272544, 0.269651, 0.272237, 0.272668];0.5603874285714286;7.083103624489797e-05;0.7485429830912742;[0.551724, 0.565517, 0.552155, 0.559483, 0.573954, 0.551531, 0.568348]
37;3;480;7;5;0.35642871428571427;8.23564248979592e-06;0.597009613526637;[0.351944, 0.361141, 0.359632, 0.356327, 0.354505, 0.356157, 0.355295];0.5892105714285715;0.00011763304053061256;0.7675239008578436;[0.57931, 0.598276, 0.572414, 0.595259, 0.598103, 0.57956, 0.601552]
38;3;480;7;20;0.557718;9.41817542857136e-06;0.7467988898120909;[0.557663, 0.554861, 0.562334, 0.561472, 0.553743, 0.555324, 0.558629];0.6631157142857143;9.177400791836753e-05;0.814262820149487;[0.662931, 0.667672, 0.6625, 0.650431, 0.682191, 0.653299, 0.662786]
39;3;480;7;50;0.6371558571428572;5.616222408163367e-06;0.7982169134517566;[0.636416, 0.634045, 0.641661, 0.636991, 0.636945, 0.6391, 0.634933];0.6947722857142857;0.00013829294848979624;0.8334470545666329;[0.690086, 0.699569, 0.678017, 0.692672, 0.719276, 0.688659, 0.695127]
40;3;480;7;100;0.6846502857142857;5.019131346938698e-06;0.8274329378160739;[0.684271, 0.682044, 0.685708, 0.684343, 0.681779, 0.688892, 0.685515];0.718483;0.0001150978497142857;0.8475658689153815;[0.715517, 0.727586, 0.70431, 0.715948, 0.736956, 0.706339, 0.722725]
41;3;480;7;200;0.7135658571428571;3.1603409795917585e-06;0.8447264035188421;[0.709636, 0.714163, 0.712797, 0.714522, 0.71368, 0.715405, 0.714758];0.7357281428571428;0.00012635693126530578;0.8576723068432824;[0.740086, 0.738793, 0.713793, 0.73319, 0.753342, 0.730056, 0.740837]
42;3;480;8;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.451252125;0.00012932652310937496;0.6716567564440118;[0.451232, 0.465517, 0.434483, 0.466502, 0.458128, 0.439133, 0.454411, 0.440611]
43;3;480;8;3;0.27109175;3.964758437499998e-06;0.5206609119586014;[0.271979, 0.270923, 0.275076, 0.271979, 0.267966, 0.269496, 0.269778, 0.271537];0.5541668750000001;7.192293185937487e-05;0.744375545049769;[0.546305, 0.559606, 0.539409, 0.553695, 0.564039, 0.55446, 0.549532, 0.566289]
44;3;480;8;5;0.35466625;3.4073331875000296e-06;0.5955357610310338;[0.351095, 0.355107, 0.357007, 0.355599, 0.355177, 0.353815, 0.35663, 0.3529];0.5862542500000001;0.00018919792093749962;0.7655488567551143;[0.57931, 0.597537, 0.561084, 0.598522, 0.585222, 0.586989, 0.574667, 0.606703]
45;3;480;8;20;0.5571490000000001;8.658541749999974e-06;0.7464183421234034;[0.556345, 0.55529, 0.563032, 0.556909, 0.557964, 0.552154, 0.556306, 0.559192];0.6606518750000001;8.332507585937493e-05;0.8127536834269905;[0.665517, 0.661084, 0.639409, 0.672414, 0.661576, 0.65796, 0.667324, 0.659931]
46;3;480;8;50;0.634846375;1.111058984374975e-06;0.7967717765715698;[0.633842, 0.635602, 0.636236, 0.635743, 0.633279, 0.633939, 0.634291, 0.635839];0.6915695;6.039909549999966e-05;0.8315702621573837;[0.68867, 0.690148, 0.673892, 0.691626, 0.7, 0.699359, 0.691966, 0.696895]
47;3;480;8;100;0.684283625;2.6519724843750835e-06;0.8272127737332854;[0.681777, 0.683888, 0.685014, 0.683325, 0.68241, 0.685529, 0.685389, 0.686937];0.717374625;0.00013240674398437474;0.8469015398828932;[0.715764, 0.723645, 0.692118, 0.715764, 0.727586, 0.724002, 0.709709, 0.730409]
48;3;480;8;200;0.7139955;1.6927570000000339e-06;0.8449815425457529;[0.712677, 0.713733, 0.715774, 0.711621, 0.715, 0.714949, 0.714809, 0.713401];0.734372625;0.0001667911904843753;0.8568581176656469;[0.737438, 0.738916, 0.703448, 0.736453, 0.74532, 0.734845, 0.729916, 0.748645]
49;4;240;2;1;0.0;0.0;0.0;[0.0, 0.0];0.562727;2.2650249999999356e-06;0.7501498083549711;[0.564232, 0.561222]
50;4;240;2;3;0.3411345;8.920802500000279e-07;0.584066441357274;[0.342079, 0.34019];0.6559714999999999;3.766890624999954e-05;0.8098974201056267;[0.649834, 0.662109]
51;4;240;2;5;0.4241545;4.237422249999962e-06;0.6512681955828566;[0.426213, 0.422096];0.6706289999999999;1.537424100000006e-05;0.8189100229933689;[0.666708, 0.67455]
52;4;240;2;20;0.610519;1.5775359999999482e-06;0.781356143166482;[0.609263, 0.611775];0.7139865;3.062500000001268e-10;0.8449772184465981;[0.714004, 0.713969]
53;4;240;2;50;0.6793130000000001;1.951609000000104e-06;0.8242032809877671;[0.68071, 0.677916];0.7348034999999999;4.4029860249999485e-05;0.8571811186323168;[0.728168, 0.741439]
54;4;240;2;100;0.7176819999999999;7.140250000000679e-07;0.8471607202739041;[0.718527, 0.716837];0.7510625;4.569084024999964e-05;0.8666122599869852;[0.744303, 0.757822]
55;4;240;2;200;0.7345575;5.438325025000009e-05;0.8570315727846611;[0.741932, 0.727183];0.759869;2.8900000000001185e-08;0.8717046352406301;[0.759699, 0.760039]
56;4;240;3;1;0.0;0.0;0.0;[0.0, 0.0, 0.0];0.51124;1.4700846666666238e-06;0.7150094614166538;[0.510623, 0.512934, 0.510163]
57;4;240;3;3;0.31572933333333336;6.088882222222196e-07;0.5618974323175994;[0.314763, 0.316674, 0.315751];0.6140923333333332;0.00024022740688888793;0.783487144710393;[0.592832, 0.620103, 0.629342]
58;4;240;3;5;0.4039536666666666;1.4028015555555428e-06;0.6355723907353993;[0.405395, 0.403972, 0.402494];0.6405126666666666;5.454592022222189e-05;0.8002862742459378;[0.638463, 0.632668, 0.650407]
59;4;240;3;20;0.5985709999999999;1.2718194666666603e-05;0.7736654844345411;[0.600887, 0.601293, 0.593533];0.696373;3.473241800000005e-05;0.8344688535721391;[0.689636, 0.703991, 0.695492]
60;4;240;3;50;0.6671486666666667;6.539480888888914e-06;0.8167876879494315;[0.66371, 0.669838, 0.667898];0.7245186666666666;3.321552088888864e-05;0.8511671111748725;[0.716978, 0.72561, 0.730968]
61;4;240;3;100;0.7092446666666666;6.990961555555352e-06;0.842162499583727;[0.712953, 0.707806, 0.706975];0.7431176666666667;1.3881174222222372e-05;0.8620346776623574;[0.737853, 0.745935, 0.745565]
62;4;240;3;200;0.7329556666666667;1.3445235555556174e-06;0.856127515118578;[0.734387, 0.732933, 0.731547];0.7542650000000001;6.491840000000563e-07;0.8684839381450874;[0.754665, 0.753141, 0.754989]
63;4;240;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.49023775;6.221973068750003e-05;0.7001253675373522;[0.499015, 0.494703, 0.489283, 0.47795]
64;4;240;4;3;0.3025805;3.4579332500000132e-06;0.5500700337836537;[0.302702, 0.30514, 0.299885, 0.302595];0.6005425;3.5508127249999735e-05;0.7749238619843565;[0.59064, 0.602858, 0.602119, 0.606553]
65;4;240;4;5;0.39217025000000005;5.792421687500035e-06;0.626230355043823;[0.392297, 0.394564, 0.388241, 0.393579];0.6294885;5.020975249999899e-06;0.7933999489694652;[0.625862, 0.631929, 0.629712, 0.630451]
66;4;240;4;20;0.5907085;3.876978250000013e-06;0.7685731084430094;[0.590211, 0.592298, 0.587699, 0.592626];0.689721;8.051912000000059e-06;0.8304895833711582;[0.686453, 0.692781, 0.687361, 0.692289]
67;4;240;4;50;0.66079525;3.857253187500065e-06;0.8128907631083111;[0.661575, 0.662178, 0.657415, 0.662013];0.721069;3.397238000000095e-06;0.8491558177166308;[0.723399, 0.719389, 0.722345, 0.719143]
68;4;240;4;100;0.70439925;6.733212187500088e-06;0.8392809522369804;[0.707481, 0.700772, 0.706109, 0.703235];0.74034625;3.839547518749984e-05;0.860411444905757;[0.73867, 0.731461, 0.74846, 0.742794]
69;4;240;4;200;0.73098475;1.8721791874999987e-06;0.8549753667918232;[0.729654, 0.733043, 0.731401, 0.729841];0.7523555000000001;1.053663125000015e-05;0.8673782124129877;[0.754187, 0.747721, 0.756344, 0.75117]
70;4;240;5;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0];0.48247799999999996;5.4611634799999854e-05;0.6945670510218578;[0.490148, 0.479064, 0.489067, 0.484139, 0.469972]
71;4;240;5;3;0.2952054;6.922128639999993e-06;0.543321707528201;[0.29448, 0.299946, 0.29184, 0.295073, 0.294688];0.5964780000000001;4.566084279999994e-05;0.7722903205124353;[0.583744, 0.596675, 0.603326, 0.600554, 0.598091]
72;4;240;5;5;0.3834146;4.27892104000005e-06;0.6192013574589126;[0.38471, 0.385865, 0.383988, 0.379831, 0.382679];0.6243764;3.9547337839999925e-05;0.790149892528095;[0.612685, 0.631773, 0.626116, 0.625808, 0.6255]
73;4;240;5;20;0.5846368;1.0047739759999955e-05;0.7646088884261286;[0.587266, 0.582339, 0.589299, 0.580754, 0.583526];0.6857184000000001;2.8187312639999856e-05;0.8280641356123087;[0.676108, 0.688116, 0.690484, 0.684016, 0.689868]
74;4;240;5;50;0.6578186;6.016213439999982e-06;0.8110564615281479;[0.656633, 0.656633, 0.654503, 0.660893, 0.660431];0.7163267999999999;1.6729029359999897e-05;0.8463510329471099;[0.718596, 0.71367, 0.719433, 0.720357, 0.709578]
75;4;240;5;100;0.7034703999999999;1.5429490400000147e-06;0.8387305032314969;[0.704981, 0.701286, 0.703772, 0.704157, 0.703156];0.7383148;6.172036256000014e-05;0.8592165499089505;[0.733067, 0.725985, 0.745611, 0.746843, 0.740068]
76;4;240;5;200;0.730184;2.871842799999992e-06;0.854506365194081;[0.730387, 0.731003, 0.728022, 0.732794, 0.728714];0.7505704000000001;4.3723439039999846e-05;0.8663294272740365;[0.754926, 0.737685, 0.753619, 0.751155, 0.755467]
77;4;240;6;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.47416383333333334;2.903597747222229e-05;0.6885744675457123;[0.479128, 0.477827, 0.47561, 0.47561, 0.474132, 0.462676]
78;4;240;6;3;0.29000433333333336;4.53124488888889e-06;0.5385162969571529;[0.289431, 0.290592, 0.293918, 0.286897, 0.288818, 0.29037];0.584407;7.607637800000019e-05;0.7644154129934848;[0.571112, 0.58204, 0.586475, 0.586475, 0.580192, 0.600148]
79;4;240;6;5;0.3790355;9.5917929166666e-06;0.6156508005412511;[0.379231, 0.378169, 0.38519, 0.37536, 0.379499, 0.376764];0.6123675000000001;5.876232091666655e-05;0.7825015895696849;[0.602143, 0.616408, 0.615299, 0.605322, 0.609756, 0.625277]
80;4;240;6;20;0.5813143333333333;4.905432222222403e-07;0.7624394027003792;[0.580931, 0.582145, 0.580741, 0.58244, 0.580888, 0.580741];0.6827623333333334;6.715015022222219e-05;0.826253703884655;[0.67307, 0.676275, 0.698448, 0.681449, 0.68071, 0.686622]
81;4;240;6;50;0.6555398333333334;3.3925864722221712e-06;0.8096520491833892;[0.65558, 0.65701, 0.656419, 0.652132, 0.654423, 0.657675];0.7148483333333333;4.710895822222219e-05;0.8454591796030788;[0.720355, 0.702882, 0.72099, 0.72136, 0.713969, 0.709534]
82;4;240;6;100;0.7012503333333333;2.2708578888888178e-06;0.8374055543614721;[0.70037, 0.699431, 0.704309, 0.701426, 0.700909, 0.701057];0.7352958333333334;5.099281780555592e-05;0.8574641919727772;[0.733284, 0.724316, 0.736881, 0.73762, 0.731707, 0.747967]
83;4;240;6;200;0.7292235000000001;8.928559166666715e-07;0.8539453185913507;[0.728899, 0.730323, 0.728697, 0.730175, 0.729658, 0.727589];0.7511851666666667;2.5075153805555666e-05;0.8666949241300892;[0.757665, 0.749446, 0.749446, 0.754619, 0.742055, 0.75388]
84;4;240;7;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.4688048571428572;5.530887383673478e-05;0.684652866983715;[0.472414, 0.48319, 0.468103, 0.466379, 0.471324, 0.458818, 0.461406]
85;4;240;7;3;0.28690642857142856;5.172840244898017e-06;0.5356316418315704;[0.28634, 0.286125, 0.290652, 0.285694, 0.28323, 0.289409, 0.286895];0.5818197142857142;7.093280477551042e-05;0.7627245777349375;[0.565086, 0.5875, 0.5875, 0.578017, 0.586028, 0.576973, 0.591634]
86;4;240;7;5;0.3761265714285714;6.996475673469381e-06;0.6132858835428204;[0.375871, 0.374937, 0.37968, 0.378458, 0.371605, 0.378287, 0.374048];0.6121205714285713;0.00017365158910204057;0.7822703623680686;[0.596121, 0.624138, 0.615948, 0.609914, 0.624838, 0.589909, 0.623976]
87;4;240;7;20;0.5792325714285714;8.901338244897916e-06;0.7610674543628354;[0.578214, 0.580082, 0.580872, 0.581303, 0.572424, 0.581836, 0.579897];0.6798058571428572;5.3900397551020284e-05;0.8244707130913179;[0.674138, 0.687931, 0.67931, 0.667672, 0.684347, 0.675722, 0.689521]
88;4;240;7;50;0.653261;5.181105142857076e-06;0.8082424258196653;[0.652008, 0.652655, 0.65402, 0.650428, 0.651099, 0.657422, 0.655195];0.7169428571428572;7.950220097959161e-05;0.8466778342096111;[0.724569, 0.711207, 0.711207, 0.717672, 0.734799, 0.708064, 0.711082]
89;4;240;7;100;0.7009094285714286;1.4575819591836544e-06;0.8372024671424885;[0.698929, 0.700726, 0.702307, 0.700007, 0.701681, 0.702472, 0.700244];0.7354822857142856;0.00014329216077551074;0.857519092238482;[0.72931, 0.736638, 0.717672, 0.732328, 0.755067, 0.7279, 0.749461]
90;4;240;7;200;0.7282235714285713;3.1981339591836803e-06;0.8533582912789985;[0.72609, 0.729971, 0.728246, 0.726234, 0.729774, 0.730637, 0.726613];0.7495838571428572;0.00011205487926530596;0.8657203949680242;[0.759483, 0.757759, 0.734052, 0.753448, 0.754204, 0.732212, 0.755929]
91;4;240;8;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.46430849999999996;0.00012703327699999998;0.6813086427772658;[0.467488, 0.481281, 0.449261, 0.477833, 0.470443, 0.458354, 0.449483, 0.460325]
92;4;240;8;3;0.28501925;4.98522943749997e-06;0.5338672726161087;[0.283593, 0.286056, 0.289012, 0.28683, 0.280988, 0.283925, 0.284699, 0.285051];0.576954875;7.133853185937485e-05;0.7595284961528044;[0.561084, 0.574877, 0.576355, 0.578325, 0.580788, 0.573682, 0.576639, 0.593889]
93;4;240;8;5;0.374216;2.5531889999999995e-06;0.6117298805935508;[0.374041, 0.374323, 0.374886, 0.375589, 0.37214, 0.376197, 0.375282, 0.37127];0.60565475;0.00013030636218750016;0.7781545114164747;[0.596059, 0.606404, 0.605911, 0.607389, 0.595567, 0.622967, 0.58896, 0.621981]
94;4;240;8;20;0.578282375;3.437626734375033e-06;0.760446538142732;[0.577391, 0.577884, 0.581333, 0.577884, 0.57887, 0.575591, 0.5808, 0.576506];0.67715725;0.0001024733761875;0.8228333832701566;[0.669951, 0.67734, 0.661084, 0.692611, 0.681773, 0.678659, 0.666831, 0.689009]
95;4;240;8;50;0.652301875;6.046851859375013e-06;0.8076483319788017;[0.648905, 0.653692, 0.653199, 0.651228, 0.648483, 0.652942, 0.65632, 0.653646];0.7107841249999998;7.874812210937515e-05;0.8430334375799636;[0.72069, 0.705911, 0.694089, 0.712808, 0.720197, 0.716116, 0.701331, 0.715131]
96;4;240;8;100;0.6999268750000001;2.620110109375027e-06;0.8366147589481616;[0.697332, 0.701344, 0.7005, 0.700007, 0.699303, 0.702421, 0.697776, 0.700732];0.733264625;0.0001090678669843748;0.8562450333479404;[0.728571, 0.738424, 0.714286, 0.733005, 0.735468, 0.741745, 0.724002, 0.750616]
97;4;240;8;200;0.7284597500000001;2.4968369375000328e-06;0.853497072732568;[0.725769, 0.728585, 0.73133, 0.726754, 0.728796, 0.729307, 0.729167, 0.72797];0.749645875;0.00012608522010937458;0.8657481098910298;[0.748768, 0.757143, 0.729064, 0.754187, 0.757143, 0.744209, 0.73928, 0.767373]
98;5;120;2;1;0.0;0.0;0.0;[0.0, 0.0];0.5795405;3.170253024999981e-05;0.7612547520178445;[0.585171, 0.57391]
99;5;120;2;3;0.3541915;1.931163024999996e-05;0.5951236748523369;[0.358586, 0.349797];0.671122;4.82680900000002e-06;0.8192174150925992;[0.668925, 0.673319]
100;5;120;2;5;0.439798;1.6321599999999004e-07;0.6631725543054386;[0.439394, 0.440202];0.6854715;5.105340249999864e-06;0.8279289792365949;[0.683212, 0.687731]
101;5;120;2;20;0.6243155;2.1692306249999825e-05;0.7901226535758546;[0.628973, 0.619658];0.7245794999999999;7.148702499999983e-07;0.8512219364711825;[0.723734, 0.725425]
102;5;120;2;50;0.689413;2.862250000000082e-07;0.8303088062733046;[0.689948, 0.688878];0.7426865;5.3130250000010304e-08;0.8617925776367247;[0.742456, 0.742917]
103;5;120;2;100;0.7240255;5.685840250000055e-06;0.8508935386755209;[0.72641, 0.721641];0.7633185;1.066056249999983e-06;0.873680395764807;[0.762286, 0.764351]
104;5;120;2;200;0.7410235;1.792252225000001e-05;0.8608168083150735;[0.745257, 0.73679];0.7712635;1.4823062499999574e-06;0.8782152456509452;[0.770046, 0.772481]
105;5;120;3;1;0.0;0.0;0.0;[0.0, 0.0, 0.0];0.5306396666666666;3.212708422222238e-05;0.7284281293184967;[0.531129, 0.537324, 0.523466]
106;5;120;3;3;0.327647;1.887863399999988e-05;0.5723880863243049;[0.333518, 0.323141, 0.326282];0.633492;2.8908038000000016e-05;0.7959039464420314;[0.626455, 0.634516, 0.639505]
107;5;120;3;5;0.4159636666666667;1.850002888888864e-06;0.6449510188097836;[0.416851, 0.414042, 0.416998];0.6603440000000002;2.6514936000000116e-05;0.8125992155201728;[0.655274, 0.658352, 0.667406]
108;5;120;3;20;0.6115353333333333;1.5131686222222265e-05;0.7819975713818497;[0.615576, 0.612748, 0.606282];0.7076436666666667;5.607498422222233e-05;0.8411822583022329;[0.697395, 0.715078, 0.710458]
109;5;120;3;50;0.6766643333333334;1.8762288888888882e-07;0.822595979634258;[0.67609, 0.676767, 0.677136];0.7320936666666666;3.0166166222221868e-05;0.8556070946996901;[0.727693, 0.739837, 0.728751]
110;5;120;3;100;0.7180513333333334;9.76459355555564e-06;0.8473733349237382;[0.722191, 0.714642, 0.717321];0.7539570000000001;2.5907606666667052e-06;0.8683054815209527;[0.753556, 0.752217, 0.756098]
111;5;120;3;200;0.7444726666666667;7.870043555555354e-06;0.8628237343879173;[0.746582, 0.740508, 0.746328];0.76572;7.542000666666622e-06;0.8750499745725002;[0.769259, 0.765336, 0.762565]
112;5;120;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.512225;4.457324849999989e-05;0.7156678187200399;[0.516256, 0.518354, 0.513181, 0.501109]
113;5;120;4;3;0.31432325;5.006786187499901e-06;0.5606409218152136;[0.316252, 0.316719, 0.311381, 0.312941];0.618033;1.5655109000000125e-05;0.7861407920283745;[0.618966, 0.623306, 0.61764, 0.61222]
114;5;120;4;5;0.404036;1.1943247499999974e-05;0.6356288671485114;[0.407325, 0.401544, 0.399737, 0.407538];0.6452545000000001;1.2924748249999906e-05;0.8032693043131612;[0.64803, 0.639074, 0.646957, 0.646957]
115;5;120;4;20;0.603375;1.5522996500000197e-05;0.7767621753171945;[0.601544, 0.60675, 0.597799, 0.607407];0.70622675;2.88929726875003e-05;0.840355791928224;[0.701724, 0.714462, 0.701158, 0.707563]
